TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD,FRATE,AMBIANT
2.02E+13,3646,81,84,27,34.44,29,24,8,28
2.02E+13,3631,81,84,27,34.44,29,24,6.1,31
2.02E+13,3631,81,84,27,34.65,29,24,7.9,31
2.02E+13,3620,81,84,27,35.42,29,24,7.2,28
2.02E+13,3620,81,84,27,35.42,29,25,7.2,31
2.02E+13,3598,81,84,27,38.01,30,27,7.6,29
2.02E+13,3578,80,84,27,38.64,30,27,6.4,30
2.02E+13,3578,80,84,27,38.64,30,27,6.4,29
2.02E+13,3556,80,84,27,38.78,31,27,6.9,29
2.02E+13,3523,80,84,27,37.45,31,27,6.6,28
2.02E+13,3523,78,84,27,37.45,31,26,6.2,30
2.02E+13,3494,78,84,27,41.65,32,30,8,31
2.02E+13,3457,78,84,27,38.01,32,30,7.3,29
2.02E+13,3457,76,84,26,38.01,30,18,7,28
2.02E+13,3372,76,84,26,32.27,34,49,7,31
2.02E+13,3400,76,84,27,85.47,34,49,6.4,30
2.02E+13,3400,76,84,24,85.47,50,64,6.2,29
2.02E+13,3501,76,84,24,95.83,64,64,7.3,31
2.02E+13,3639,78,84,22,110.67,64,74,7,30
2.02E+13,3639,81,84,22,110.67,67,72,6.2,30
2.02E+13,3765,81,84,22,100.73,52,72,6.3,30
2.02E+13,3849,85,84,22,101.92,52,67,6.6,29
2.02E+13,3849,86,84,22,101.92,51,50,6.5,29
2.02E+13,3883,86,84,22,47.67,33,50,8,30
2.02E+13,3800,86,84,23,44.8,33,29,6.9,30
2.02E+13,3800,85,84,23,44.8,32,29,6.6,28
2.02E+13,3741,85,84,25,44.03,32,29,6.9,29
2.02E+13,3680,83,84,25,43.4,32,29,7.4,30
